time,currency,selling,buying,eff_buying,eff_selling
31-08-20_10:57,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:58,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:59,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:59,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:00,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:00,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:01,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:02,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:02,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:03,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:03,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:04,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:04,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:05,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:06,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:06,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:07,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:08,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:08,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:09,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:09,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:10,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:11,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:11,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:12,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:12,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_11:13,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:14,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:14,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:15,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:15,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:16,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:17,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:17,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:18,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:18,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:19,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:20,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:20,USD,7.309,7.3825,7.298,7.4046
