time,currency,selling,buying
31-08-20_11:19,USD,7.33483,7.40283
31-08-20_11:19,USD,7.33483,7.40283
31-08-20_11:20,USD,7.33483,7.40283
31-08-20_11:21,USD,7.33483,7.40283
31-08-20_11:21,USD,7.33483,7.40283
31-08-20_11:22,USD,7.33483,7.40283
31-08-20_11:22,USD,7.33483,7.40283
31-08-20_11:23,USD,7.33483,7.40283
31-08-20_11:23,USD,7.33483,7.40283
31-08-20_11:24,USD,7.31871,7.38671
31-08-20_11:24,USD,7.33214,7.40014
31-08-20_11:25,USD,7.33214,7.40014
31-08-20_11:26,USD,7.32944,7.39744
31-08-20_11:26,USD,7.33214,7.40014
31-08-20_11:27,USD,7.33214,7.40014
31-08-20_11:27,USD,7.32944,7.39744
31-08-20_11:28,USD,7.32944,7.39744
31-08-20_11:28,USD,7.32944,7.39744
31-08-20_11:29,USD,7.33214,7.40014
31-08-20_11:30,USD,7.33214,7.40014
31-08-20_11:30,USD,7.32944,7.39744
31-08-20_11:31,USD,7.32944,7.39744
31-08-20_11:31,USD,7.32944,7.39744
31-08-20_11:32,USD,7.32944,7.39744
31-08-20_11:32,USD,7.32944,7.39744
31-08-20_11:33,USD,7.32944,7.39744
31-08-20_11:33,USD,7.32944,7.39744
31-08-20_11:34,USD,7.32944,7.39744
31-08-20_11:35,USD,7.31334,7.38134
31-08-20_11:35,USD,7.32944,7.39744
31-08-20_11:36,USD,7.32944,7.39744
31-08-20_11:36,USD,7.32944,7.39744
31-08-20_11:37,USD,7.32944,7.39744
31-08-20_11:37,USD,7.32944,7.39744
31-08-20_11:38,USD,7.32675,7.39475
31-08-20_11:39,USD,7.32675,7.39475
31-08-20_11:39,USD,7.32675,7.39475
31-08-20_11:40,USD,7.32675,7.39475
31-08-20_11:40,USD,7.32675,7.39475
31-08-20_11:41,USD,7.32675,7.39475
31-08-20_11:41,USD,7.32406,7.39206
31-08-20_11:42,USD,7.32406,7.39206
31-08-20_11:42,USD,7.32406,7.39206
31-08-20_11:43,USD,7.32406,7.39206
31-08-20_11:44,USD,7.32406,7.39206
31-08-20_11:44,USD,7.32406,7.39206
31-08-20_11:45,USD,7.32406,7.39206
31-08-20_11:45,USD,7.32406,7.39206
31-08-20_11:46,USD,7.32406,7.39206
31-08-20_11:46,USD,7.32406,7.39206
31-08-20_11:47,USD,7.32406,7.39206
31-08-20_11:48,USD,7.32406,7.39206
31-08-20_11:48,USD,7.32406,7.39206
31-08-20_11:49,USD,7.32406,7.39206
31-08-20_11:49,USD,7.32406,7.39206
31-08-20_11:50,USD,7.32406,7.39206
31-08-20_11:50,USD,7.32406,7.39206
31-08-20_11:51,USD,7.32406,7.39206
31-08-20_11:52,USD,7.32406,7.39206
31-08-20_11:52,USD,7.32406,7.39206
31-08-20_11:53,USD,7.32406,7.39206
31-08-20_11:53,USD,7.32406,7.39206
31-08-20_11:54,USD,7.32406,7.39206
31-08-20_11:54,USD,7.32406,7.39206
31-08-20_11:55,USD,7.32406,7.39206
31-08-20_11:55,USD,7.32406,7.39206
31-08-20_11:56,USD,7.32406,7.39206
31-08-20_11:57,USD,7.32406,7.39206
31-08-20_11:57,USD,7.32406,7.39206
31-08-20_11:58,USD,7.32406,7.39206
31-08-20_11:58,USD,7.32406,7.39206
31-08-20_11:59,USD,7.32406,7.39206
31-08-20_11:59,USD,7.32406,7.39206
31-08-20_12:00,USD,7.32406,7.39206
31-08-20_12:01,USD,7.32406,7.39206
31-08-20_12:01,USD,7.32675,7.39475
31-08-20_12:02,USD,7.32675,7.39475
31-08-20_12:02,USD,7.32675,7.39475
31-08-20_12:03,USD,7.32944,7.39744
31-08-20_12:03,USD,7.32944,7.39744
31-08-20_12:04,USD,7.32944,7.39744
31-08-20_12:05,USD,7.32944,7.39744
31-08-20_12:05,USD,7.32944,7.39744
31-08-20_12:06,USD,7.32944,7.39744
31-08-20_12:06,USD,7.32944,7.39744
31-08-20_12:07,USD,7.32944,7.39744
31-08-20_12:07,USD,7.32944,7.39744
31-08-20_12:08,USD,7.32944,7.39744
31-08-20_12:09,USD,7.32944,7.39744
31-08-20_12:09,USD,7.32944,7.39744
31-08-20_12:10,USD,7.32944,7.39744
31-08-20_12:10,USD,7.32944,7.39744
31-08-20_12:11,USD,7.32944,7.39744
31-08-20_12:11,USD,7.32944,7.39744
31-08-20_12:12,USD,7.32944,7.39744
31-08-20_12:12,USD,7.32944,7.39744
31-08-20_12:13,USD,7.32944,7.39744
31-08-20_12:14,USD,7.32944,7.39744
31-08-20_12:14,USD,7.33214,7.40014
31-08-20_12:15,USD,7.33214,7.40014
31-08-20_12:15,USD,7.33483,7.40283
31-08-20_12:16,USD,7.33483,7.40283
31-08-20_12:16,USD,7.33483,7.40283
31-08-20_12:17,USD,7.33483,7.40283
31-08-20_12:18,USD,7.33214,7.40014
31-08-20_12:18,USD,7.33214,7.40014
31-08-20_12:19,USD,7.33214,7.40014
31-08-20_12:19,USD,7.33214,7.40014
31-08-20_12:20,USD,7.33483,7.40283
31-08-20_12:20,USD,7.33214,7.40014
31-08-20_12:21,USD,7.33483,7.40283
31-08-20_12:22,USD,7.33483,7.40283
31-08-20_12:22,USD,7.33483,7.40283
31-08-20_12:23,USD,7.33483,7.40283
31-08-20_12:23,USD,7.33483,7.40283
31-08-20_12:24,USD,7.33483,7.40283
31-08-20_12:24,USD,7.33483,7.40283
31-08-20_12:25,USD,7.33483,7.40283
31-08-20_12:25,USD,7.33483,7.40283
31-08-20_12:26,USD,7.33483,7.40283
31-08-20_12:27,USD,7.33483,7.40283
31-08-20_12:27,USD,7.33483,7.40283
31-08-20_12:28,USD,7.33483,7.40283
31-08-20_12:28,USD,7.33483,7.40283
31-08-20_12:29,USD,7.33483,7.40283
31-08-20_12:29,USD,7.33483,7.40283
31-08-20_12:30,USD,7.33483,7.40283
31-08-20_12:31,USD,7.33483,7.40283
31-08-20_12:31,USD,7.33483,7.40283
31-08-20_12:32,USD,7.33483,7.40283
31-08-20_12:32,USD,7.33483,7.40283
31-08-20_12:33,USD,7.33483,7.40283
31-08-20_12:33,USD,7.33483,7.40283
31-08-20_12:34,USD,7.33483,7.40283
31-08-20_12:35,USD,7.33483,7.40283
31-08-20_12:35,USD,7.33483,7.40283
31-08-20_12:36,USD,7.33483,7.40283
31-08-20_12:36,USD,7.33483,7.40283
31-08-20_12:37,USD,7.33483,7.40283
31-08-20_12:37,USD,7.33483,7.40283
31-08-20_12:38,USD,7.33483,7.40283
31-08-20_12:38,USD,7.33483,7.40283
31-08-20_12:39,USD,7.33483,7.40283
31-08-20_12:40,USD,7.33483,7.40283
31-08-20_12:40,USD,7.33483,7.40283
31-08-20_12:41,USD,7.33483,7.40283
31-08-20_12:41,USD,7.33483,7.40283
31-08-20_12:42,USD,7.33483,7.40283
31-08-20_12:42,USD,7.33483,7.40283
31-08-20_12:43,USD,7.33483,7.40283
31-08-20_12:44,USD,7.33483,7.40283
31-08-20_12:44,USD,7.33483,7.40283
31-08-20_12:45,USD,7.33483,7.40283
31-08-20_12:45,USD,7.33483,7.40283
31-08-20_12:46,USD,7.33483,7.40283
31-08-20_12:46,USD,7.33483,7.40283
31-08-20_12:47,USD,7.33483,7.40283
31-08-20_12:47,USD,7.33483,7.40283
31-08-20_12:48,USD,7.33483,7.40283
31-08-20_12:49,USD,7.33483,7.40283
31-08-20_12:49,USD,7.33483,7.40283
31-08-20_12:50,USD,7.33483,7.40283
31-08-20_12:50,USD,7.33753,7.40553
31-08-20_12:51,USD,7.33753,7.40553
31-08-20_12:51,USD,7.33753,7.40553
31-08-20_12:52,USD,7.33753,7.40553
31-08-20_12:53,USD,7.33753,7.40553
31-08-20_12:53,USD,7.32679,7.39479
31-08-20_12:54,USD,7.34023,7.40823
31-08-20_12:54,USD,7.34023,7.40823
31-08-20_12:55,USD,7.34023,7.40823
31-08-20_12:55,USD,7.34023,7.40823
31-08-20_12:56,USD,7.34294,7.41094
31-08-20_12:57,USD,7.34294,7.41094
31-08-20_12:57,USD,7.34294,7.41094
31-08-20_12:58,USD,7.32408,7.39208
31-08-20_12:58,USD,7.34564,7.41364
31-08-20_12:59,USD,7.34564,7.41364
31-08-20_12:59,USD,7.34564,7.41364
31-08-20_13:00,USD,7.34294,7.41094
31-08-20_13:00,USD,7.34294,7.41094
31-08-20_13:01,USD,7.34564,7.41364
31-08-20_13:02,USD,7.34564,7.41364
31-08-20_13:02,USD,7.34564,7.41364
31-08-20_13:03,USD,7.32947,7.39747
31-08-20_13:03,USD,7.34835,7.41635
31-08-20_13:04,USD,7.34835,7.41635
31-08-20_13:04,USD,7.34564,7.41364
31-08-20_13:05,USD,7.34564,7.41364
31-08-20_13:06,USD,7.34835,7.41635
31-08-20_13:06,USD,7.34835,7.41635
31-08-20_13:07,USD,7.34835,7.41635
31-08-20_13:07,USD,7.34835,7.41635
31-08-20_13:08,USD,7.34835,7.41635
31-08-20_13:08,USD,7.34835,7.41635
31-08-20_13:09,USD,7.34835,7.41635
31-08-20_13:09,USD,7.34835,7.41635
31-08-20_13:10,USD,7.34835,7.41635
31-08-20_13:11,USD,7.34835,7.41635
31-08-20_13:11,USD,7.34835,7.41635
31-08-20_13:12,USD,7.34835,7.41635
31-08-20_13:12,USD,7.34835,7.41635
31-08-20_13:13,USD,7.34835,7.41635
31-08-20_13:13,USD,7.34835,7.41635
31-08-20_13:14,USD,7.34835,7.41635
31-08-20_13:15,USD,7.34835,7.41635
31-08-20_13:15,USD,7.34835,7.41635
31-08-20_13:16,USD,7.34835,7.41635
31-08-20_13:16,USD,7.34835,7.41635
31-08-20_13:17,USD,7.34835,7.41635
31-08-20_13:17,USD,7.34835,7.41635
31-08-20_13:18,USD,7.34835,7.41635
31-08-20_13:19,USD,7.34835,7.41635
31-08-20_13:19,USD,7.34564,7.41364
31-08-20_13:20,USD,7.34835,7.41635
31-08-20_13:20,USD,7.34835,7.41635
31-08-20_13:21,USD,7.34564,7.41364
31-08-20_13:21,USD,7.34835,7.41635
31-08-20_13:22,USD,7.34835,7.41635
31-08-20_13:22,USD,7.34835,7.41635
31-08-20_13:23,USD,7.34835,7.41635
31-08-20_13:24,USD,7.34835,7.41635
31-08-20_13:24,USD,7.34835,7.41635
31-08-20_13:25,USD,7.34564,7.41364
31-08-20_13:25,USD,7.34564,7.41364
31-08-20_13:26,USD,7.34835,7.41635
31-08-20_13:26,USD,7.32679,7.39479
31-08-20_13:27,USD,7.32679,7.39479
31-08-20_13:28,USD,7.34564,7.41364
31-08-20_13:28,USD,7.34564,7.41364
31-08-20_13:29,USD,7.34564,7.41364
31-08-20_13:29,USD,7.34835,7.41635
31-08-20_13:30,USD,7.34564,7.41364
31-08-20_13:30,USD,7.34564,7.41364
31-08-20_13:31,USD,7.34564,7.41364
31-08-20_13:31,USD,7.34564,7.41364
31-08-20_13:32,USD,7.34564,7.41364
31-08-20_13:33,USD,7.34564,7.41364
31-08-20_13:33,USD,7.34835,7.41635
31-08-20_13:34,USD,7.34835,7.41635
31-08-20_13:34,USD,7.34835,7.41635
31-08-20_13:35,USD,7.34835,7.41635
31-08-20_13:35,USD,7.34835,7.41635
31-08-20_13:36,USD,7.34835,7.41635
31-08-20_13:37,USD,7.33483,7.40283
31-08-20_13:37,USD,7.34564,7.41364
31-08-20_13:38,USD,7.34835,7.41635
31-08-20_13:38,USD,7.34835,7.41635
31-08-20_13:39,USD,7.34835,7.41635
31-08-20_13:39,USD,7.34835,7.41635
31-08-20_13:40,USD,7.34835,7.41635
31-08-20_13:41,USD,7.34835,7.41635
31-08-20_13:41,USD,7.34835,7.41635
31-08-20_13:42,USD,7.34835,7.41635
31-08-20_13:42,USD,7.34564,7.41364
31-08-20_13:43,USD,7.34564,7.41364
31-08-20_13:43,USD,7.34294,7.41094
31-08-20_13:44,USD,7.34564,7.41364
31-08-20_13:45,USD,7.34564,7.41364
31-08-20_13:45,USD,7.34564,7.41364
31-08-20_13:46,USD,7.34564,7.41364
31-08-20_13:46,USD,7.34564,7.41364
31-08-20_13:47,USD,7.34294,7.41094
31-08-20_13:47,USD,7.34564,7.41364
31-08-20_13:48,USD,7.34294,7.41094
31-08-20_13:49,USD,7.34294,7.41094
31-08-20_13:49,USD,7.32947,7.39747
31-08-20_13:50,USD,7.34564,7.41364
31-08-20_13:50,USD,7.34564,7.41364
31-08-20_13:51,USD,7.34564,7.41364
31-08-20_13:51,USD,7.34564,7.41364
31-08-20_13:52,USD,7.34564,7.41364
31-08-20_13:52,USD,7.34564,7.41364
31-08-20_13:53,USD,7.34564,7.41364
31-08-20_13:54,USD,7.34564,7.41364
31-08-20_13:54,USD,7.34564,7.41364
31-08-20_13:55,USD,7.34564,7.41364
31-08-20_13:55,USD,7.34564,7.41364
31-08-20_13:56,USD,7.34564,7.41364
31-08-20_13:56,USD,7.34564,7.41364
31-08-20_13:57,USD,7.34294,7.41094
31-08-20_13:58,USD,7.34294,7.41094
31-08-20_13:58,USD,7.34294,7.41094
31-08-20_13:59,USD,7.34294,7.41094
31-08-20_13:59,USD,7.34294,7.41094
31-08-20_14:00,USD,7.34294,7.41094
31-08-20_14:00,USD,7.34294,7.41094
31-08-20_14:01,USD,7.34294,7.41094
31-08-20_14:02,USD,7.34294,7.41094
31-08-20_14:02,USD,7.34564,7.41364
31-08-20_14:03,USD,7.34023,7.40823
31-08-20_14:03,USD,7.34023,7.40823
31-08-20_14:04,USD,7.34023,7.40823
31-08-20_14:04,USD,7.34023,7.40823
31-08-20_14:05,USD,7.34023,7.40823
31-08-20_14:06,USD,7.34023,7.40823
31-08-20_14:06,USD,7.34023,7.40823
31-08-20_14:07,USD,7.34023,7.40823
31-08-20_14:07,USD,7.34023,7.40823
31-08-20_14:08,USD,7.34023,7.40823
31-08-20_14:08,USD,7.33753,7.40553
31-08-20_14:09,USD,7.34023,7.40823
31-08-20_14:10,USD,7.34023,7.40823
31-08-20_14:10,USD,7.34023,7.40823
31-08-20_14:11,USD,7.34023,7.40823
31-08-20_14:11,USD,7.34023,7.40823
31-08-20_14:12,USD,7.32408,7.39208
31-08-20_14:12,USD,7.34023,7.40823
31-08-20_14:13,USD,7.34023,7.40823
31-08-20_14:14,USD,7.34023,7.40823
31-08-20_14:14,USD,7.34023,7.40823
31-08-20_14:15,USD,7.34023,7.40823
31-08-20_14:15,USD,7.34023,7.40823
31-08-20_14:16,USD,7.34023,7.40823
31-08-20_14:16,USD,7.34294,7.41094
31-08-20_14:17,USD,7.34294,7.41094
31-08-20_14:17,USD,7.34023,7.40823
31-08-20_14:18,USD,7.34294,7.41094
31-08-20_14:19,USD,7.34294,7.41094
31-08-20_14:19,USD,7.34294,7.41094
31-08-20_14:20,USD,7.34023,7.40823
31-08-20_14:20,USD,7.34294,7.41094
31-08-20_14:21,USD,7.34294,7.41094
31-08-20_14:21,USD,7.32676,7.39476
31-08-20_14:22,USD,7.34023,7.40823
31-08-20_14:23,USD,7.34023,7.40823
31-08-20_14:23,USD,7.34023,7.40823
31-08-20_14:24,USD,7.34023,7.40823
31-08-20_14:24,USD,7.34294,7.41094
31-08-20_14:25,USD,7.34294,7.41094
31-08-20_14:25,USD,7.34294,7.41094
31-08-20_14:26,USD,7.34294,7.41094
31-08-20_14:26,USD,7.34294,7.41094
31-08-20_14:27,USD,7.34294,7.41094
31-08-20_14:28,USD,7.32676,7.39476
31-08-20_14:28,USD,7.34023,7.40823
31-08-20_14:29,USD,7.34023,7.40823
31-08-20_14:29,USD,7.34294,7.41094
31-08-20_14:30,USD,7.34564,7.41364
31-08-20_14:30,USD,7.34564,7.41364
31-08-20_14:31,USD,7.34294,7.41094
31-08-20_14:32,USD,7.34294,7.41094
31-08-20_14:32,USD,7.34294,7.41094
31-08-20_14:33,USD,7.34294,7.41094
31-08-20_14:33,USD,7.34294,7.41094
31-08-20_14:34,USD,7.34294,7.41094
31-08-20_14:34,USD,7.34294,7.41094
31-08-20_14:35,USD,7.34294,7.41094
31-08-20_14:35,USD,7.34294,7.41094
31-08-20_14:36,USD,7.34023,7.40823
31-08-20_14:37,USD,7.34023,7.40823
31-08-20_14:37,USD,7.34023,7.40823
31-08-20_14:38,USD,7.34294,7.41094
31-08-20_14:38,USD,7.34294,7.41094
31-08-20_14:39,USD,7.34294,7.41094
31-08-20_14:39,USD,7.34294,7.41094
31-08-20_14:40,USD,7.33753,7.40553
31-08-20_14:41,USD,7.33753,7.40553
31-08-20_14:41,USD,7.33753,7.40553
31-08-20_14:42,USD,7.33753,7.40553
31-08-20_14:42,USD,7.33753,7.40553
