time,currency,selling,buying
31-08-20_12:59,USD,7.3194,7.3855
31-08-20_12:59,USD,7.3184,7.3844
31-08-20_13:00,USD,7.3184,7.3844
31-08-20_13:00,USD,7.3205,7.3866
31-08-20_13:01,USD,7.3205,7.3866
31-08-20_13:01,USD,7.3195,7.3856
31-08-20_13:02,USD,7.3195,7.3856
31-08-20_13:02,USD,7.3204,7.3865
31-08-20_13:03,USD,7.3204,7.3865
31-08-20_13:03,USD,7.3226,7.3888
31-08-20_13:04,USD,7.3226,7.3888
31-08-20_13:04,USD,7.3225,7.3887
31-08-20_13:05,USD,7.3225,7.3887
31-08-20_13:06,USD,7.3235,7.3897
31-08-20_13:06,USD,7.3235,7.3897
31-08-20_13:07,USD,7.3233,7.3895
31-08-20_13:07,USD,7.3233,7.3895
31-08-20_13:08,USD,7.3232,7.3894
31-08-20_13:08,USD,7.3232,7.3894
31-08-20_13:09,USD,7.3238,7.39
31-08-20_13:09,USD,7.3238,7.39
31-08-20_13:10,USD,7.3238,7.39
31-08-20_13:10,USD,7.3238,7.39
31-08-20_13:11,USD,7.3228,7.389
31-08-20_13:11,USD,7.3227,7.3889
31-08-20_13:12,USD,7.3227,7.3889
31-08-20_13:12,USD,7.3228,7.389
31-08-20_13:13,USD,7.3228,7.389
31-08-20_13:13,USD,7.3237,7.3899
31-08-20_13:14,USD,7.3237,7.3899
31-08-20_13:14,USD,7.3238,7.39
31-08-20_13:15,USD,7.3238,7.39
31-08-20_13:15,USD,7.323,7.3892
31-08-20_13:16,USD,7.323,7.3892
31-08-20_13:16,USD,7.3225,7.3887
31-08-20_13:17,USD,7.3225,7.3887
31-08-20_13:17,USD,7.3235,7.3897
31-08-20_13:18,USD,7.3235,7.3897
31-08-20_13:18,USD,7.3222,7.3884
31-08-20_13:19,USD,7.3222,7.3884
31-08-20_13:19,USD,7.3231,7.3893
31-08-20_13:20,USD,7.3231,7.3893
31-08-20_13:20,USD,7.322,7.3882
31-08-20_13:21,USD,7.322,7.3882
31-08-20_13:21,USD,7.3228,7.389
31-08-20_13:22,USD,7.3228,7.389
31-08-20_13:23,USD,7.3229,7.3891
31-08-20_13:23,USD,7.3229,7.3891
